Date : 2022-10-28 14:01:42
Directory : /Users/prollo/EDA/Tier3/Solo-Project-2022
Total : 72 files,  4502 codes, 544 comments, 641 blanks, all 5687 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript React |         39 |      2,489 |        336 |        278 |      3,103 |
| JavaScript       |         25 |      1,515 |        198 |        255 |      1,968 |
| JSON             |          3 |        192 |          0 |          2 |        194 |
| SQL              |          1 |        110 |          5 |         43 |        158 |
| Markdown         |          1 |         83 |          0 |         39 |        122 |
| CSS              |          1 |         80 |          0 |         22 |        102 |
| HTML             |          1 |         17 |          0 |          1 |         18 |
| YAML             |          1 |         16 |          5 |          1 |         22 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |         72 |      4,502 |        544 |        641 |      5,687 |
| .github                                                                                                          |          1 |         16 |          5 |          1 |         22 |
| public                                                                                                           |          1 |         17 |          0 |          1 |         18 |
| server                                                                                                           |         11 |        861 |        126 |        134 |      1,121 |
| server/constants                                                                                                 |          1 |         17 |          0 |          7 |         24 |
| server/modules                                                                                                   |          5 |        113 |         47 |         27 |        187 |
| server/routes                                                                                                    |          3 |        591 |         42 |         73 |        706 |
| server/strategies                                                                                                |          1 |         44 |         16 |          6 |         66 |
| src                                                                                                              |         54 |      3,223 |        408 |        421 |      4,052 |
| src/components                                                                                                   |         40 |      2,569 |        336 |        300 |      3,205 |
| src/components/AddEventModal                                                                                     |          1 |         74 |         36 |          7 |        117 |
| src/components/AddImageModal                                                                                     |          1 |         14 |         93 |          2 |        109 |
| src/components/AddResourceModal                                                                                  |          1 |         66 |          0 |          7 |         73 |
| src/components/App                                                                                               |          2 |        147 |         13 |         43 |        203 |
| src/components/CardEdit                                                                                          |          1 |        127 |          9 |          6 |        142 |
| src/components/CardNonEdit                                                                                       |          1 |         86 |          5 |          6 |         97 |
| src/components/ChatComponents                                                                                    |          4 |        208 |          2 |         27 |        237 |
| src/components/LogOutButton                                                                                      |          1 |         20 |          3 |          4 |         27 |
| src/components/LoginForm                                                                                         |          1 |         57 |          6 |          9 |         72 |
| src/components/NavbarComponent                                                                                   |          1 |         44 |          0 |          3 |         47 |
| src/components/Pages                                                                                             |          9 |        630 |         55 |         73 |        758 |
| src/components/Pages/ChatPage                                                                                    |          1 |         42 |          0 |          9 |         51 |
| src/components/Pages/ChoosePage                                                                                  |          1 |         59 |          5 |          7 |         71 |
| src/components/Pages/CreateOrganization                                                                          |          1 |         77 |         24 |          9 |        110 |
| src/components/Pages/LandingPage                                                                                 |          1 |         37 |          2 |          5 |         44 |
| src/components/Pages/LoginPage                                                                                   |          1 |         34 |          2 |          6 |         42 |
| src/components/Pages/RegisterPage                                                                                |          1 |         34 |          2 |          6 |         42 |
| src/components/Pages/ResourcePage                                                                                |          1 |        119 |          1 |         12 |        132 |
| src/components/Pages/SchedulePage                                                                                |          1 |        134 |          8 |         10 |        152 |
| src/components/Pages/UserPage                                                                                    |          1 |         94 |         11 |          9 |        114 |
| src/components/ProtectedRoute                                                                                    |          1 |         21 |         15 |          7 |         43 |
| src/components/RegisterForm                                                                                      |          1 |        136 |         11 |         11 |        158 |
| src/components/ScheduleCard                                                                                      |          1 |         24 |          3 |          5 |         32 |
| src/components/ScheduleListUsers                                                                                 |          1 |         26 |          0 |          3 |         29 |
| src/components/ScheduleUpdateParticipant                                                                         |          1 |         74 |          0 |          7 |         81 |
| src/components/UserEdit                                                                                          |          1 |         73 |          2 |          4 |         79 |
| src/components/UserEmailUpdateForm                                                                               |          1 |         81 |         11 |         10 |        102 |
| src/components/UserOrgAddTitle                                                                                   |          1 |         47 |          6 |          5 |         58 |
| src/components/UserOrgAddUser                                                                                    |          1 |         47 |          7 |          5 |         59 |
| src/components/UserOrgAdminStatus                                                                                |          1 |         66 |          9 |          5 |         80 |
| src/components/UserOrgNameChange                                                                                 |          1 |         75 |         12 |          9 |         96 |
| src/components/UserOrgRemoveTitle                                                                                |          1 |         42 |          3 |          4 |         49 |
| src/components/UserOrgShowUsers                                                                                  |          1 |         68 |          3 |          5 |         76 |
